# pH	kcat
6.2	12.9689
8.2	14.2548
7.2	17.19
9	7.40522
5.6	7.89024
7.4	16.8461
6.4	13.6468
8.4	14.0782
5.4	5.39369
7.8	13.9629
7.6	15.694
6	11.8938
8.8	9.88897
8	15.6854
9.4	1.82856
5	0.522304
5.2	3.1377
6.6	14.0276
5.8	9.38051
8.6	10.5256
7	16.05
6.8	16.5229
9.2	4.58385
6.2	13.5634
8.2	13.1848
7.2	15.5089
9	5.97345
5.6	8.14207
7.4	16.414
6.4	14.7833
8.4	11.4239
5.4	5.6963
7.8	16.8031
7.6	15.3099
6	12.0963
8.8	8.00631
8	15.8981
9.4	4.14274
5	0.509436
5.2	3.39424
6.6	15.5495
5.8	10.0487
8.6	12.8874
7	15.4723
6.8	15.6124
9.2	3.95579
6.2	13.3497
8.2	13.1926
7.2	17.294
9	5.99793
5.6	7.44952
7.4	16.1057
6.4	13.7308
8.4	13.0499
5.4	5.46483
7.8	16.2357
7.6	15.0047
6	10.8398
8.8	11.2599
8	14.0327
9.4	1.33034
5	0.736504
5.2	3.20892
6.6	15.7113
5.8	9.95748
8.6	9.21452
7	16.2463
6.8	15.1667
9.2	5.42265
6.2	12.4307
8.2	14.8105
7.2	15.5154
9	6.0864
5.6	7.53682
7.4	17.69
6.4	14.5922
8.4	12.5653
5.4	5.66209
7.8	17.1944
7.6	15.3841
6	11.9694
8.8	7.45965
8	15.0653
9.4	1.53354
5	0.920766
5.2	3.09556
6.6	15.9006
5.8	10.0345
8.6	9.72032
7	16.3949
6.8	15.9426
9.2	6.24698
6.2	12.0501
8.2	15.6394
7.2	16.9588
9	8.12497
5.6	8.21188
7.4	16.6607
6.4	13.794
8.4	11.1997
5.4	5.4934
7.8	16.4976
7.6	17.4478
6	11.618
8.8	10.1518
8	15.5411
9.4	1.70821
5	0.702474
5.2	3.51161
6.6	14.7395
5.8	9.16559
8.6	9.99021
7	16.3996
6.8	16.6962
9.2	6.29239
6.2	12.0877
8.2	12.3279
7.2	16.263
9	9.2693
5.6	7.67402
7.4	15.9041
6.4	14.1913
8.4	10.7471
5.4	5.3087
7.8	15.417
7.6	16.4872
6	10.7039
8.8	10.4135
8	14.363
9.4	5.20938
5	0.860256
5.2	3.319
6.6	15.2107
5.8	9.641
8.6	12.95
7	15.5734
6.8	15.0716
9.2	7.32694
6.2	13.6435
8.2	14.8334
7.2	16.0239
9	7.58736
5.6	7.4531
7.4	16.9575
6.4	14.958
8.4	11.0906
5.4	5.53531
7.8	14.1438
7.6	15.2577
6	12.0011
8.8	10.1926
8	13.5127
9.4	3.53033
5	0.934733
5.2	3.06363
6.6	15.3429
5.8	10.157
8.6	13.1817
7	16.5132
6.8	14.9237
9.2	4.20276
6.2	12.155
8.2	15.5818
7.2	17.2047
9	8.0725
5.6	7.99403
7.4	17.3554
6.4	13.2459
8.4	13.6915
5.4	5.42937
7.8	14.3515
7.6	17.4518
6	11.7272
8.8	7.82197
8	14.531
9.4	3.17734
5	0.595091
5.2	3.00211
6.6	14.9861
5.8	9.13019
8.6	10.3141
7	15.6481
6.8	15.9835
9.2	3.5716
6.2	12.3934
8.2	13.34
7.2	15.595
9	7.46318
5.6	8.01809
7.4	16.9908
6.4	13.8066
8.4	12.2215
5.4	5.93831
7.8	17.0627
7.6	14.9768
6	11.8837
8.8	8.71141
8	15.9918
9.4	1.40941
5	0.68159
5.2	3.39368
6.6	15.2617
5.8	9.25717
8.6	11.3045
7	16.0649
6.8	16.0162
9.2	5.39355
6.2	13.5687
8.2	13.5426
7.2	17.6502
9	7.07248
5.6	8.39168
7.4	15.8066
6.4	14.0942
8.4	12.5953
5.4	5.80995
7.8	16.0184
7.6	16.1892
6	11.359
8.8	9.90651
8	16.049
9.4	4.14823
5	0.593035
5.2	3.55771
6.6	15.3722
5.8	9.92208
8.6	11.3457
7	17.0678
6.8	14.6718
9.2	4.25858
6.2	13.3296
8.2	12.516
7.2	15.0899
9	5.64206
5.6	8.3756
7.4	15.444
6.4	13.8042
8.4	11.589
5.4	5.78593
7.8	14.4497
7.6	15.0484
6	11.1748
8.8	10.6698
8	14.0078
9.4	3.61341
5	0.945499
5.2	3.69724
6.6	15.6299
5.8	9.92388
8.6	10.1358
7	16.1703
6.8	15.3766
9.2	3.44474
6.2	13.0366
8.2	13.7568
7.2	15.3753
9	7.17234
5.6	8.03851
7.4	16.665
6.4	13.3084
8.4	12.9911
5.4	5.51966
7.8	16.6558
7.6	17.1087
6	11.8354
8.8	8.2934
8	14.3621
9.4	3.85725
5	0.934566
5.2	3.23653
6.6	14.7598
5.8	9.25277
8.6	9.82228
7	15.7916
6.8	16.4009
9.2	3.02479
6.2	12.0769
8.2	14.1454
7.2	17.1043
9	5.71774
5.6	7.85254
7.4	15.4215
6.4	14.2466
8.4	12.4735
5.4	6.04069
7.8	14.6252
7.6	16.8979
6	12.1219
8.8	10.4561
8	13.1573
9.4	1.52517
5	0.813542
5.2	3.56109
6.6	14.0536
5.8	9.45592
8.6	10.0815
7	16.9293
6.8	16.5445
9.2	3.05824
6.2	12.496
8.2	15.4618
7.2	17.6608
9	7.20187
5.6	8.08776
7.4	17.6377
6.4	13.1011
8.4	14.5154
5.4	5.30903
7.8	14.7433
7.6	16.1547
6	10.8034
8.8	8.8474
8	14.9787
9.4	2.79308
5	0.71583
5.2	3.09278
6.6	15.311
5.8	10.3364
8.6	9.14986
7	15.9472
6.8	15.8455
9.2	6.49506
6.2	12.8659
8.2	12.3427
7.2	17.4943
9	5.33478
5.6	7.56369
7.4	15.6631
6.4	13.8762
8.4	10.812
5.4	5.7357
7.8	16.8333
7.6	16.4505
6	11.1584
8.8	8.2547
8	13.7986
9.4	4.73285
5	0.770395
5.2	3.01256
6.6	14.5323
5.8	10.2892
8.6	9.20691
7	17.1638
6.8	15.7206
9.2	5.34178
6.2	13.4598
8.2	12.0181
7.2	15.2669
9	6.25556
5.6	7.76291
7.4	16.4317
6.4	14.0279
8.4	13.6064
5.4	5.69515
7.8	16.2575
7.6	14.8643
6	10.6812
8.8	10.9231
8	14.0817
9.4	3.00621
5	0.675541
5.2	3.11692
6.6	14.9065
5.8	9.87385
8.6	12.7719
7	16.6852
6.8	15.966
9.2	7.46399
6.2	12.0092
8.2	15.1921
7.2	17.2078
9	7.63462
5.6	8.15653
7.4	17.5768
6.4	13.6297
8.4	11.4455
5.4	5.80197
7.8	14.6625
7.6	17.5726
6	10.7503
8.8	8.93065
8	13.7149
9.4	3.46149
5	0.716631
5.2	3.1236
6.6	14.7716
5.8	9.40203
8.6	9.26307
7	15.6196
6.8	16.589
9.2	6.02305
6.2	12.3156
8.2	15.2542
7.2	16.5602
9	8.56731
5.6	7.41225
7.4	15.0468
6.4	13.6526
8.4	13.795
5.4	5.49201
7.8	15.0591
7.6	16.2476
6	10.6977
8.8	8.81744
8	14.6174
9.4	2.76709
5	0.766367
5.2	3.54542
6.6	14.0459
5.8	9.45014
8.6	11.3978
7	16.1993
6.8	16.4634
9.2	7.58976
6.2	13.5429
8.2	14.9364
7.2	16.3001
9	8.74375
5.6	7.95856
7.4	17.154
6.4	14.7577
8.4	14.4617
5.4	5.33549
7.8	14.457
7.6	16.0726
6	10.7832
8.8	10.0761
8	16.4782
9.4	4.17453
5	0.656093
5.2	3.65079
6.6	15.2066
5.8	9.92533
8.6	12.5005
7	17.1019
6.8	15.6727
9.2	7.28426
6.2	13.5808
8.2	15.3496
7.2	15.5799
9	8.62716
5.6	8.39744
7.4	15.6763
6.4	14.3294
8.4	12.3408
5.4	5.40156
7.8	16.0484
7.6	15.6419
6	11.6584
8.8	7.93176
8	13.7366
9.4	5.12602
5	0.655949
5.2	3.67206
6.6	14.1833
5.8	9.22694
8.6	9.46906
7	14.8851
6.8	16.7448
9.2	6.90019
6.2	13.0445
8.2	12.6689
7.2	17.0355
9	5.90757
5.6	8.28494
7.4	16.1585
6.4	14.2371
8.4	11.8304
5.4	6.13882
7.8	14.3575
7.6	14.7515
6	11.9425
8.8	10.8701
8	14.94
9.4	1.3766
5	0.970391
5.2	3.13172
6.6	15.2327
5.8	9.28636
8.6	12.9206
7	16.0941
6.8	15.2912
9.2	4.03491
6.2	12.1873
8.2	12.4585
7.2	17.6106
9	7.99748
5.6	8.331
7.4	15.2805
6.4	13.7126
8.4	12.286
5.4	5.64052
7.8	16.1824
7.6	16.1502
6	11.3955
8.8	8.64134
8	14.7563
9.4	2.18173
5	0.780202
5.2	3.48688
6.6	14.3902
5.8	9.60505
8.6	10.789
7	16.1993
6.8	15.5678
9.2	4.47124
6.2	12.1927
8.2	14.3237
7.2	16.408
9	6.8018
5.6	7.80046
7.4	15.5941
6.4	13.5745
8.4	11.7045
5.4	6.10825
7.8	14.8645
7.6	16.7408
6	11.322
8.8	11.1245
8	15.163
9.4	0.842976
5	0.773151
5.2	3.4501
6.6	15.2076
5.8	9.34697
8.6	12.0391
7	16.7923
6.8	16.192
9.2	6.23511
6.2	13.1763
8.2	12.573
7.2	16.6389
9	9.02492
5.6	7.74123
7.4	15.3717
6.4	14.7515
8.4	11.6821
5.4	5.34717
7.8	15.8581
7.6	15.9129
6	11.8039
8.8	9.15095
8	14.2655
9.4	3.90182
5	0.930886
5.2	3.65143
6.6	15.2535
5.8	9.80661
8.6	11.6232
7	17.2331
6.8	15.4702
9.2	6.1648
6.2	13.4385
8.2	15.6091
7.2	17.0538
9	9.10439
5.6	7.79266
7.4	16.9709
6.4	14.1346
8.4	10.6943
5.4	6.08134
7.8	14.9264
7.6	14.968
6	11.932
8.8	10.2525
8	15.5703
9.4	0.587167
5	0.719307
5.2	3.11718
6.6	15.5363
5.8	10.0049
8.6	9.30437
7	15.5352
6.8	16.4398
9.2	6.56834
6.2	12.8329
8.2	14.241
7.2	16.2208
9	9.69542
5.6	7.9313
7.4	17.519
6.4	14.06
8.4	13.69
5.4	5.49941
7.8	15.5958
7.6	14.5483
6	11.0428
8.8	10.2741
8	13.8863
9.4	2.21169
5	0.542553
5.2	3.31322
6.6	15.4556
5.8	9.57702
8.6	10.8937
7	17.039
6.8	15.8263
9.2	5.39903
6.2	12.8925
8.2	15.4123
7.2	17.0861
9	8.71292
5.6	8.09151
7.4	15.42
6.4	14.8342
8.4	12.911
5.4	5.40398
7.8	16.9146
7.6	16.3055
6	11.9544
8.8	9.73476
8	15.7069
9.4	2.51302
5	0.533029
5.2	3.11995
6.6	14.9373
5.8	9.19606
8.6	9.7255
7	17.2749
6.8	15.5265
9.2	5.43624
6.2	13.3285
8.2	15.3497
7.2	16.91
9	6.2652
5.6	8.10746
7.4	16.4268
6.4	13.5363
8.4	12.5562
5.4	5.51943
7.8	14.9408
7.6	14.9984
6	11.9705
8.8	10.8797
8	14.727
9.4	1.78473
5	0.783603
5.2	3.34858
6.6	15.2373
5.8	9.72677
8.6	11.0193
7	15.0471
6.8	15.1396
9.2	6.43362
6.2	12.3825
8.2	14.337
7.2	16.6012
9	9.63987
5.6	7.83718
7.4	17.1718
6.4	14.8293
8.4	12.6873
5.4	6.09387
7.8	16.6966
7.6	16.4082
6	11.0091
8.8	9.01425
8	16.1882
9.4	1.62809
5	0.6796
5.2	3.43471
6.6	15.4818
5.8	9.21198
8.6	10.5067
7	16.97
6.8	16.0113
9.2	3.46779
6.2	13.6469
8.2	12.6798
7.2	17.2515
9	7.06681
5.6	7.80653
7.4	15.9817
6.4	13.8459
8.4	12.0909
5.4	5.38129
7.8	14.236
7.6	15.9599
6	11.2511
8.8	10.9013
8	14.0088
9.4	3.63652
5	0.62433
5.2	3.60611
6.6	14.1338
5.8	10.0484
8.6	10.3124
7	16.5617
6.8	16.3822
9.2	3.01604
6.2	13.6443
8.2	12.1401
7.2	16.7845
9	6.12155
5.6	7.42903
7.4	17.0436
6.4	14.0188
8.4	11.4441
5.4	5.53828
7.8	17.1837
7.6	16.3347
6	11.5284
8.8	11.4906
8	16.2427
9.4	2.62452
5	0.80029
5.2	3.32522
6.6	14.9213
5.8	9.59205
8.6	11.5605
7	15.4473
6.8	15.2943
9.2	5.46611
6.2	13.528
8.2	13.5528
7.2	17.4726
9	8.7978
5.6	8.3247
7.4	17.0407
6.4	13.1822
8.4	14.1359
5.4	5.59282
7.8	15.0285
7.6	15.3476
6	10.9362
8.8	7.42443
8	13.1993
9.4	2.64892
5	0.902028
5.2	3.26492
6.6	15.2491
5.8	9.3062
8.6	9.37366
7	15.6907
6.8	15.8028
9.2	5.19524
6.2	13.4372
8.2	15.1049
7.2	15.3141
9	9.63011
5.6	8.36247
7.4	15.5277
6.4	13.4551
8.4	13.0169
5.4	5.95524
7.8	16.5969
7.6	15.831
6	12.0773
8.8	8.10815
8	15.5539
9.4	4.43658
5	0.8256
5.2	3.56768
6.6	14.5903
5.8	10.1286
8.6	11.5789
7	15.5031
6.8	15.6202
9.2	4.47301
6.2	13.2593
8.2	12.7185
7.2	15.4052
9	7.47765
5.6	7.62182
7.4	16.8866
6.4	13.6582
8.4	12.6143
5.4	5.64818
7.8	15.0613
7.6	16.5997
6	11.5157
8.8	9.37976
8	15.2317
9.4	3.82942
5	0.943293
5.2	3.18492
6.6	15.3108
5.8	9.50458
8.6	12.208
7	16.4037
6.8	16.2031
9.2	3.87029
6.2	12.1665
8.2	15.2937
7.2	15.4912
